name,id,twitter_username,total_amount,category_code
BeenVerified,13,BeenVerified,0,Other
Bitly,19,bitly,-1,Tech
ChallengePost,28,challengepost,3,Tech
Centzy,27,centzy,0,Ecommerce
Daylife,44,daylife,-1,Other
Chartbeat,29,chartbeat,0,Other
Comixology,35,comixology,7,Tech
DateMySchool,43,datemyschool,0,Tech
Behance,14,Behance,34,Tech
8coupons,1,8coupons,1,Tech
DealSurf,45,DealSurf_NYC,0,Tech
FancyHands,53,fancyhands,-1,Tech
Fashism,54,Fashism,-1,Other
Food52,57,food52,20,Other
Gust,70,gustly,1,Tech
Harvest,71,harvest,4,Other
ideeli,78,ideeli,2,Ecommerce
GeneralAssembly,63,GA,6,Education
Hunch,76,hunch,0,Tech
Docracy,46,docracy,1,Tech
Conductor,36,conductor,-2,Tech
IntentMedia,82,intentmedia,1,Advertising
Kargo,88,kargo,2,Tech
JOOR,85,JOORACCESS,0,Other
Livestream,94,livestream,40,Tech
Lenddo,92,lenddofriend,0,Other
MediaMath,102,mediamath,1,Advertising
Media6Degrees(m6d),101,m6d_inc,0,Advertising
Memrise,104,memrise,5,Education
Meetup,103,Meetup,0,Tech
Knewton,90,Knewton,9,Education
Mimeo,106,MimeoPrinting,0,Tech
Lot18,97,Lot18,1,Other
Moonit,107,Moonit,2,Tech
NewsCred,110,newscred,0,Advertising
NextJump,111,corporateperks,0,Ecommerce
IMRSV,80,immersivelabs,-1,Other
Onepager,115,onepagerapp,0,Tech
PeekYou,122,peekyou,2,Tech
Rentenna,132,rentenna,2,Tech
Producteev,127,producteev,0,Advertising
RedRover,130,redrover,0,Tech
OneWire,116,OneWiretweets,1,Other
Sailthru,136,sailthru,3,Advertising
Schoology,139,Schoology,3,Education
SalonPulse.com,137,SalonPulse,0,Tech
SecondMarket,141,SecondMarket,2,Other
ShowMe,146,showmeapp,1,Education
Refinery29,131,refinery29,43,Other
Signpost,148,signpostsmb,1,Advertising
SnoothMedia,153,snooth,4,Tech
Songza,157,songza,2,Other
Tumblr,174,tumblr,600,Tech
TheLadders,167,TheLadders,2,Tech
Vimeo,181,Vimeo,13,Tech
TradeCard,171,TradeCard,0,Other
Trendabl,173,Trendabl,0,Other
Tutorspree,175,tutorspree,1,Education
LearnVest,91,LearnVest,4,Other
Unigo,177,Unigo,0,Education
Updater,178,updater,0,Tech
VenueBook,180,venuebook,0,Tech
SideTour,147,sidetour,1,Tech
StyleCaster,163,StyleCaster,0,Other
Animoto,6,Animoto,4,Other
AppNexus,8,AppNexus,3,Advertising
Voxy,184,voxy,1,Education
SenseNetworks,142,Sense_Networks,0,Tech
Admeld,4,admeld,0,Advertising
AxialMarket,11,axialco,0,Other
YCharts,189,ycharts,0,Other
Yext,190,yext,0,Tech
Yipit,191,yipit,0,Tech
Yodle,192,yodle,2,Advertising
Bonobos,198,bonobos,0,Ecommerce
Taboola,196,taboola,0,Tech
WarbyParker,187,warbyparker,4,Ecommerce
Foursquare,59,foursquare,34,Tech
Skillshare,150,skillshare,5,Education
Squarespace,159,squarespace,9,Tech
HowAboutWe,75,howaboutwe,2,Tech
BuzzFeed,23,BuzzFeedNews,18,Other
Spotify,197,spotify,51,Tech
Etsy,51,Etsy,100,Ecommerce
